Amerino,Alessio,Asl n1 triestina dipartimento salute mentale,ente pubblico,ALIAMI03B00W404U,Trieste,Via Aldo Barbaro,69029105140
Aldegardo,Verma,Ass n4 medio friuli,ente pubblico,VEMALA77J29R971G,Codroipo,Viale Duodo Francesco,79706577278
Cosmano,Maiorano,Ass n4 medio friuli,ente pubblico,MAACOO51G16M966G,Codroipo,Viale Duodo Francesco,14895450107
Ionio,Del grosso,Ass n4 medio friuli poliambulatorio,ente pubblico,DEGIOO15U24V867T,Codroipo,Viale Duodo Francesco,41629904816
Ginio,Spezzano,Assn 4 medio friuli,ente pubblico,SPPGIO79T25V024K,Udine,Via di Giusto Riccardo,86987154137
Bertillo,Nieddu,Asldistretto 1 triestina,ente pubblico,NIUBET65P27O013L,Duino,Frazione Aurisina Aurisina,21672813356
Olvidio,Contemoro,Asldistretto 1 triestina,ente pubblico,COOOLV87W27B156L,Trieste,Via Lionello Stock,83521418131
Elfino,Salvarosa,Asldistretto 1 opicina triestina,ente pubblico,SAVELL73O36M426C,Trieste,Via di Prosecco Villa Opicina,25543810380
Ivanio,Albanese,Asldistretto 2 triestina,ente pubblico,ALBIVV87Q20H961G,Trieste,Via Amerigo Vespucci,83439689185
Ivio,De maglio,Asldistretto 2 triestina,ente pubblico,DEEIVV70T22K786U,Trieste,Via della Pieta,22122259339
Argimiro,Di donna,Asldistretto 2 triestina,ente pubblico,DIOARM06U15N304S,Trieste,Campo San Giacomo,71885767784
Decimo,Fabbrizio,Asldistretto 2 triestina,ente pubblico,FABDEI31I16I062R,Trieste,Via del Muraglione,88095962479
Mattio,Acampora,Asldistretto 2 triestina,ente pubblico,ACAMAA37E27L660X,Trieste,Via San Marco,90638137439
Robustino,Cavallo,Asldistretto 3 triestina,ente pubblico,CAOROO79Y02S147C,Trieste,Via Giacomo Puccini,77851296650
Aligio,Qiu,Asldistretto 3 triestina,ente pubblico,QIUALL18O21Y050R,Muggia,Via Cesare Battisti,73372093578
Giovamaria,Biasini,Asldistretto 3 triestina,ente pubblico,BIIGIV69O30B590D,Trieste,Via di Valmaura,41423415221
Adilio,Algieri,Asldistretto 4 triestina,ente pubblico,ALLADI63F21E330K,Trieste,Via Giovanni Sai,79001756328
Cristian,Popolizio,Asldistretto alto isontino isontina,ente pubblico,POOCRI09S02Q541J,Cormons,Viale Venezia Giulia,60145899797
Gianmarco,Grossi,Asldistretto alto isontino isontina,ente pubblico,GRSGIR16F16Y533O,Cormons,Viale Venezia Giulia,79619261705
Risieri,Ogayon,Asldistretto basso isontinoass 2 isontina,ente pubblico,OGYRIE71U23F637I,Grado,Via Michelangelo Buonarroti,27657329364
Ireo,Imparato,Asldistretto basso isontinoass 2 isontina,ente pubblico,IMRIRO37Y12K841P,Monfalcone,Via Luigi Galvani,04015742228
Mildo,Daggiano,Asldistretto di carnia,ente pubblico,DAGMID55C27T696Y,Tolmezzo,Via Carnia Libera,44475687442
Iseo,Da silva,Asldistretto di cividale del friuli,ente pubblico,DAAISE37X02T758A,Cividale del friuli,Via Carraria,93509112766
Nemesio,Decataldo,Asldistretto di codroipoass 3,ente pubblico,DEENEM12K07A550V,Codroipo,Viale Francesco Duodo,62549176252
Falaride,Colica,Asldistretto di san danieleass 4,ente pubblico,COAFAE19T31V419N,San daniele del friuli,Viale Trento e Trieste,67265229390
Fiorinto,De pascali,Asldistretto di udineass 4,ente pubblico,DEPFII19L16R021B,Udine,Via San Valentino,37056119404
Miro,Anastasio,Asldistretto est 6 friuli occidentale,ente pubblico,ANAMIR11Z13D813Q,San vito al tagliamento,Piazzale Thomas Linteris,98326892624
Orlindo,Dibra,Asldistretto est di cervignano del friuliass 2,ente pubblico,DIRORD37P25R564N,Cervignano del friuli,Via Trieste,89232458846
Esposito,Dellanna,Asldistretto est di palmanovaaas 2,ente pubblico,DE ESO01Q38I265J,Palmanova,Via Molin,71124427493
Fiore,Aprile,Asldistretto gemonese val canale canal del ferroass 3,ente pubblico,APEFIE50Y00E575I,Gemona del friuli,Piazza Rodolone,55039104668
Pergentino,Dantes,Asldistretto nord 6 friuli occidentale,ente pubblico,DAEPEI14M34U215A,Maniago,Via Unita d Italia,72786531444
Isonzo,Montedoro,Asldistretto ovest di latisanaass 2,ente pubblico,MOTISO57Q06E501W,Latisana,Via Sabbionera,41183300229
Risoluto,De bernart,Asldistretto ovest di san giorgio di nogaroass 2,ente pubblico,DETRIO18C16A231H,San giorgio di nogaro,Via Palmanova,34764752230
Armerino,De nitto,Asldistretto sud 6 friuli occidentale,ente pubblico,DEEARR55P37L799D,Azzano decimo,Via xv Aprile,27832200421
Effrem,Russiello,Asldistretto tarcentoass 4 medio friuli,ente pubblico,RUOEFR00E37G078D,Tarcento,Via Pietro Coianiz,22059168016
Epaminonda,Cavazzoni,Asldistretto urbano 6 friuli occidentale,ente pubblico,CAZEPI10X38M600M,Pordenone,Via della Comina,10071426446
Manlio,Seck,Asln 1 triestina,ente pubblico,SECMAN03L22I435A,Trieste,Via Giovanni Sai,39784842976
Filodelfo,Prinari,Asufc,ente pubblico,PRRFIO23F03E991E,Udine,Via Pozzuolo,91662228637
Menio,Ponzi,Audionova italia,ente pubblico,POOMEO78X07G931V,Gorizia,Via Gian Battista Garzarolli A,85728793463
Ermenegildo,Del mastro,Audionova italia,ente pubblico,DERERE02V22J001B,Ronchi dei legionari,Via Roma F,42978392462
Grimoaldo,Tanzi,Audionova italia,ente pubblico,TANGRR12F11I370P,Codroipo,Viale Venezia D Presso Friulmedica,47473587573
Ippolito,James,Azienda assistenza sanitaria 3 alto friuli collinare medio friuli azienda per l assistenza sanitaria n 3 alto friulicollinaremedio friuli,ente pubblico,JAEIPO26Y26I016S,Moggio udinese,Moggio Udinese Via G Ermolli,93521371068
Renetto,De lorenzo,Azienda assistenza sanitaria 3 alto friuli collinare medio friuli azienda per l assistenza sanitaria n 3 alto friulicollinaremedio friuli,ente pubblico,DEEREE32V06O248N,Moggio udinese,Moggio Udinese Via G Ermolli,35578380676
Neri,Truppi,Azienda assistenza sanitaria 3 alto friuli collinare medio friuli azienda per l assistenza sanitaria n 3 alto friulicollinaremedio friuli,ente pubblico,TRINER44X04W534Z,Gemona del friuli,Codroipo Viale Duodo,22116266507
Gianetto,Sauli,Azienda assistenza sanitaria n 5 friuli occidentale,ente pubblico,SAUGIE99I14Z994D,Pordenone,Via Grado,84213718428
Amoroso,Ceribashi,Azienda assistenza sanitaria n 5 friuli occidentale,ente pubblico,CEIAMS51K15X873X,Pordenone,Via Unit D Italia,44382568039
Derio,Chittano,Azienda assistenza sanitaria n 5 friuli occidentale,ente pubblico,CHODEI88T05T971T,Pordenone,Pordenone Via Martiri Concordiesi,92998593224
Dolcino,Caus,Azienda assistenza sanitaria n 5 friuli occidentale,ente pubblico,CASDON19T02L351J,Sacile,Spilimbergo Via Raffaello Sanzio,96491900683
Saturnino,Fumagalli,Azienda assistenza sanitaria n 5 friuli occidentale,ente pubblico,FULSAN21Q13P489H,Pordenone,Pordenone Via De La Comina,05529402429
Evaristo,Taurisano,Azienda assistenza sanitaria n 5 friuli occidentale,ente pubblico,TAAEVO05Y22Z460Y,San vito al tagliamento,Linteris,80899846004
Gualtieri,Campeggio,Azienda assistenza sanitaria n 5 friuli occidentale,ente pubblico,CAEGUU16E35C848P,Pordenone,Interna,50209896370
Solimano,Cucchiara,Azienda ospedalierouniversitaria di udine,ente pubblico,CURSON22A12W836T,Tarcento,Via Pretura Vecchia,74577813751
Beato,Kusey,Azienda per i servizi sanitari n 2 isontina,ente pubblico,KUEBEE02P12R982G,Gradisca disonzo,Via Alexander Fleming,59221262684
Libero,Sanapo,Azienda per i servizi sanitari n 2 isontina,ente pubblico,SAPLIO92W38Y262B,Monfalcone,Viale Fatebenefratelli,71595564815
Sabato,Savoiardi,Azienda per i servizi sanitari n 2 isontina,ente pubblico,SAOSAO66G27F207D,Monfalcone,Via Galvani l,09618098199
Ananio,Cobuzzi,Azienda per i servizi sanitari n 2 isontina,ente pubblico,COBANA76L30M521U,Gorizia,Viale Fatebenefratelli,17159257912
Illario,Malvarosa,Azienda per i servizi sanitari n 3alto friuli,ente pubblico,MARILR94O35G306J,Pontebba,Via iv Novembre,53712713713
Girolamo,Stano,Azienda per i servizi sanitari n 3alto friuli,ente pubblico,STOGIA84T25A805Q,Tolmezzo,Viale Aldo Moro,31836144401
Remoaldo,Vallone,Azienda per i servizi sanitari n 3alto friuli,ente pubblico,VAAREO10A00Z842C,Enemonzo,Via Narzans,11367363461
